timestamp,channel_1,channel_2,channel_3,channel_4,channel_5
2024-01-01 00:00:00,67.477,67.141,49.87,38.539,29.227
2024-01-01 00:00:01,67.962,70.31,47.117,30.374,38.507
2024-01-01 00:00:02,70.335,62.094,45.576,28.732,34.75
2024-01-01 00:00:03,70.362,63.227,41.029,31.166,37.209
2024-01-01 00:00:04,70.151,59.82,40.536,34.863,41.431
2024-01-01 00:00:05,68.014,52.03,39.45,34.922,44.135
2024-01-01 00:00:06,74.645,49.655,30.26,29.824,58.9
2024-01-01 00:00:07,65.709,50.468,29.243,35.675,63.114
2024-01-01 00:00:08,69.121,53.184,26.06,37.215,64.942
2024-01-01 00:00:09,65.555,45.858,36.091,43.226,63.773
2024-01-01 00:00:10,70.193,35.973,31.265,53.151,74.194
2024-01-01 00:00:11,60.35,29.074,32.848,48.46,68.837
2024-01-01 00:00:12,58.781,38.156,29.116,52.129,68.98
2024-01-01 00:00:13,55.819,33.579,35.467,58.421,72.764
2024-01-01 00:00:14,57.292,35.614,39.855,65.165,67.946
2024-01-01 00:00:15,49.689,28.326,40.846,68.871,69.098
2024-01-01 00:00:16,49.795,31.282,48.411,70.207,58.989
2024-01-01 00:00:17,42.176,32.539,55.872,73.397,52.287
2024-01-01 00:00:18,46.779,28.938,49.887,64.598,46.662
2024-01-01 00:00:19,42.049,29.785,53.354,72.512,38.069
2024-01-01 00:00:20,36.685,32.407,57.249,66.156,38.284
2024-01-01 00:00:21,42.156,35.677,67.807,66.608,38.74
2024-01-01 00:00:22,32.913,36.132,68.754,57.07,34.203
2024-01-01 00:00:23,37.386,41.577,67.296,57.15,30.661
2024-01-01 00:00:24,31.305,40.038,69.252,53.594,27.015
2024-01-01 00:00:25,36.905,40.427,67.442,51.964,31.324
2024-01-01 00:00:26,33.343,53.473,72.596,39.425,35.529
2024-01-01 00:00:27,27.384,48.922,68.103,40.238,36.719
2024-01-01 00:00:28,27.301,52.206,67.087,33.329,39.769
2024-01-01 00:00:29,31.85,56.788,67.675,35.188,41.387
2024-01-01 00:00:30,29.564,60.084,62.695,33.876,51.275
2024-01-01 00:00:31,30.492,61.366,59.488,34.169,44.256
2024-01-01 00:00:32,35.787,64.798,56.791,28.415,59.552
2024-01-01 00:00:33,30.999,66.676,55.469,33.477,70.343
2024-01-01 00:00:34,35.076,68.835,54.235,36.384,61.551
2024-01-01 00:00:35,39.479,62.286,47.29,29.831,67.796
2024-01-01 00:00:36,41.082,75.554,44.342,39.791,69.788
2024-01-01 00:00:37,40.407,69.515,38.022,44.604,68.485
2024-01-01 00:00:38,42.404,71.233,33.596,45.126,71.807
2024-01-01 00:00:39,40.552,64.394,35.294,46.64,67.778
2024-01-01 00:00:40,45.169,65.679,32.058,57.459,63.463
2024-01-01 00:00:41,51.891,63.202,26.153,55.166,61.234
2024-01-01 00:00:42,53.104,67.366,29.018,61.941,54.18
2024-01-01 00:00:43,56.265,58.607,30.055,65.467,58.699
2024-01-01 00:00:44,61.579,59.781,29.782,70.093,44.696
2024-01-01 00:00:45,57.177,52.507,37.441,67.56,40.268
2024-01-01 00:00:46,62.127,49.937,36.73,67.943,30.633
2024-01-01 00:00:47,65.282,47.362,42.234,69.887,31.101
2024-01-01 00:00:48,64.235,48.802,42.156,71.258,34.214
2024-01-01 00:00:49,71.997,36.263,45.173,72.87,26.002
2024-01-01 00:00:50,71.486,35.173,45.864,58.483,24.015
2024-01-01 00:00:51,70.371,30.743,52.502,60.323,32.277
2024-01-01 00:00:52,75.294,31.131,56.209,52.036,39.092
2024-01-01 00:00:53,65.49,30.165,55.551,54.015,38.842
2024-01-01 00:00:54,69.702,26.408,61.168,43.761,42.142
2024-01-01 00:00:55,70.229,28.179,64.491,40.335,42.437
2024-01-01 00:00:56,65.469,23.969,68.819,36.741,54.354
2024-01-01 00:00:57,67.889,27.101,70.448,34.985,59.78
2024-01-01 00:00:58,62.156,34.405,68.119,33.601,56.766
2024-01-01 00:00:59,65.774,33.154,71.354,32.337,69.076
2024-01-01 00:01:00,64.872,34.106,68.767,30.045,70.556
2024-01-01 00:01:01,60.314,32.556,59.375,26.209,73.107
2024-01-01 00:01:02,51.576,33.346,64.554,33.474,71.687
2024-01-01 00:01:03,51.752,37.234,66.693,33.125,70.884
2024-01-01 00:01:04,53.786,43.458,55.374,39.569,68.295
2024-01-01 00:01:05,49.559,49.292,57.345,37.431,66.108
2024-01-01 00:01:06,38.826,52.58,58.099,38.721,53.977
2024-01-01 00:01:07,48.101,54.952,47.277,47.711,50.273
2024-01-01 00:01:08,42.342,53.958,45.797,56.092,47.615
2024-01-01 00:01:09,37.171,59.196,38.262,56.972,44.491
2024-01-01 00:01:10,40.483,60.877,43.721,59.862,41.421
2024-01-01 00:01:11,33.548,63.654,35.655,61.318,37.212
2024-01-01 00:01:12,31.84,72.422,33.619,71.999,36.427
2024-01-01 00:01:13,33.577,62.66,35.711,65.627,34.411
2024-01-01 00:01:14,36.737,68.419,32.461,67.627,27.421
2024-01-01 00:01:15,35.471,73.447,27.381,71.647,31.068
2024-01-01 00:01:16,31.213,65.597,28.318,63.541,29.345
2024-01-01 00:01:17,31.389,67.735,32.706,71.184,33.986
2024-01-01 00:01:18,32.583,67.249,30.986,66.647,39.138
2024-01-01 00:01:19,26.977,66.855,28.761,64.174,32.305
2024-01-01 00:01:20,33.546,60.977,37.744,59.299,54.587
2024-01-01 00:01:21,30.587,65.389,36.688,52.923,54.039
2024-01-01 00:01:22,35.21,63.092,49.523,45.834,55.394
2024-01-01 00:01:23,35.304,59.825,48.941,44.267,67.358
2024-01-01 00:01:24,39.458,52.684,49.489,37.682,64.209
2024-01-01 00:01:25,40.48,52.415,53.823,38.439,68.376
2024-01-01 00:01:26,33.244,46.261,53.752,36.402,68.126
2024-01-01 00:01:27,45.465,44.793,59.284,36.185,74.934
2024-01-01 00:01:28,49.406,49.19,68.341,31.522,68.813
2024-01-01 00:01:29,51.41,40.141,74.147,32.777,67.536
2024-01-01 00:01:30,52.357,33.675,71.162,29.673,67.596
2024-01-01 00:01:31,60.138,35.489,69.554,30.627,61.768
2024-01-01 00:01:32,58.605,28.986,68.669,35.845,55.255
2024-01-01 00:01:33,61.314,27.972,66.511,36.378,53.818
2024-01-01 00:01:34,65.295,27.444,74.277,42.059,53.14
2024-01-01 00:01:35,65.205,28.729,65.598,42.204,41.794
2024-01-01 00:01:36,63.14,32.877,69.996,47.1,37.078
2024-01-01 00:01:37,59.97,32.314,64.824,56.022,33.95
2024-01-01 00:01:38,67.012,33.157,52.031,60.948,35.111
2024-01-01 00:01:39,71.573,29.771,51.605,59.103,28.293
2024-01-01 00:01:40,68.753,33.356,47.816,67.263,29.404
2024-01-01 00:01:41,72.403,38.092,45.81,66.109,27.005
2024-01-01 00:01:42,70.295,38.012,42.237,69.359,30.586
2024-01-01 00:01:43,73.228,41.941,48.047,74.232,36.091
2024-01-01 00:01:44,67.667,47.164,32.862,72.112,41.751
2024-01-01 00:01:45,68.83,47.963,34.316,70.836,52.004
2024-01-01 00:01:46,67.526,52.883,33.604,72.045,53.287
2024-01-01 00:01:47,68.824,60.121,30.531,61.29,53.822
2024-01-01 00:01:48,57.268,57.83,30.348,56.881,58.845
2024-01-01 00:01:49,58.873,64.673,27.084,53.636,68.938
2024-01-01 00:01:50,60.48,65.317,31.451,50.722,71.057
2024-01-01 00:01:51,60.126,61.394,34.258,40.033,69.527
2024-01-01 00:01:52,53.669,64.242,35.921,42.226,68.671
2024-01-01 00:01:53,49.481,66.352,39.405,37.311,72.686
2024-01-01 00:01:54,50.035,67.111,45.131,37.925,64.443
2024-01-01 00:01:55,47.812,69.725,47.231,33.956,65.628
2024-01-01 00:01:56,41.651,71.649,48.362,29.246,67.4
2024-01-01 00:01:57,41.367,72.874,48.427,31.88,56.67
2024-01-01 00:01:58,41.726,68.849,53.866,32.302,48.823
2024-01-01 00:01:59,41.863,64.945,58.528,28.805,47.405
2024-01-01 00:02:00,36.661,57.977,63.134,31.522,40.026
2024-01-01 00:02:01,33.069,62.013,63.686,29.034,33.049
2024-01-01 00:02:02,31.566,59.156,64.514,35.836,35.923
2024-01-01 00:02:03,32.5,56.672,65.333,40.803,34.768
2024-01-01 00:02:04,29.904,59.33,64.841,47.512,29.232
2024-01-01 00:02:05,30.577,53.545,69.274,48.843,29.016
